timestamp;temperature;humidity;label;label_encoded
"10;53;57";24.4;42.3;NORMAL;1
"10;53;59";24.4;42.3;NORMAL;1
"10;54;01";24.4;42.2;NORMAL;1
"10;54;04";24.4;42.2;NORMAL;1
"10;54;06";24.4;42.2;NORMAL;1
"10;54;08";24.4;42.2;NORMAL;1
"10;54;10";24.4;42.2;NORMAL;1
"10;54;12";24.4;42.2;NORMAL;1
"10;54;14";24.4;42.2;NORMAL;1
"10;54;16";24.4;42.2;NORMAL;1
"10;54;18";24.4;42.2;NORMAL;1
"10;54;20";24.4;42.2;NORMAL;1
"10;54;22";24.4;42.2;NORMAL;1
"10;54;24";24.4;42.2;NORMAL;1
"10;54;26";24.4;42.2;NORMAL;1
